S-10B
S-23C Google 8 0.398 S:53, I:0, D:18
S-23C Kaldi 9 0.304 S:18, I:2, D:0
S-23C Google 9 0.4 S:15, I:0, D:4
S-23C Kaldi 10 0.304 S:32, I:0, D:1
S-23C Google 10 0.667 S:16, I:0, D:19
S-23C Kaldi 11 0.224 S:114, I:0, D:11
S-23C Google 11 0.456 S:81, I:0, D:34
S-6B
S-6B Kaldi 0 0.433 S:80, I:0, D:11
S-6B Google 0 0.559 S:63, I:0, D:39
S-6B Kaldi 1 0.322 S:139, I:0, D:9
S-6B Google 1 0.44 S:116, I:0, D:43
S-6B Kaldi 2 0.154 S:242, I:0, D:15
S-6B Google 2 0.316 S:197, I:0, D:42
S-6B Kaldi 3 0.245 S:148, I:0, D:6
S-6B Google 3 0.419 S:115, I:0, D:41
S-6B Kaldi 4 0.178 S:350, I:0, D:9
S-6B Google 4 0.285 S:306, I:0, D:52
S-6B Kaldi 5 0.109 S:433, I:0, D:13
S-6B Google 5 0.281 S:351, I:0, D:63
S-5A
S-5A Kaldi 0 0.359 S:291, I:0, D:24
S-5A Google 0 0.537 S:211, I:0, D:139
S-5A Kaldi 1 0.302 S:162, I:0, D:18
S-5A Google 1 0.5 S:117, I:0, D:72
S-5A Kaldi 2 0.292 S:479, I:0, D:43
S-5A Google 2 0.443 S:378, I:0, D:153
S-5A Kaldi 3 0.241 S:264, I:0, D:22
S-5A Google 3 0.429 S:200, I:0, D:88
S-5A Kaldi 4 0.228 S:251, I:0, D:22
S-5A Google 4 0.419 S:190, I:0, D:84
S-5A Kaldi 5 0.289 S:349, I:0, D:44
S-5A Google 5 0.485 S:254, I:0, D:128
S-11C
S-11C Kaldi 0 0.169 S:162, I:0, D:4
S-11C Google 0 0.284 S:141, I:0, D:35
S-11C Kaldi 1 0.236 S:120, I:0, D:9
S-11C Google 1 0.428 S:91, I:0, D:51
S-11C Kaldi 2 0.183 S:304, I:0, D:16
S-11C Google 2 0.267 S:274, I:0, D:46
S-11C Kaldi 3 0.194 S:316, I:0, D:26
S-11C Google 3 0.272 S:287, I:0, D:70
S-11C Kaldi 4 0.102 S:512, I:0, D:21
S-11C Google 4 0.231 S:440, I:0, D:57
S-11C Kaldi 5 0.113 S:456, I:0, D:13
S-11C Google 5 0.227 S:399, I:0, D:56
S-11C Kaldi 6 0.201 S:167, I:0, D:8
S-11C Google 6 0.294 S:149, I:0, D:29
S-11C Kaldi 7 0.125 S:224, I:0, D:13
S-11C Google 7 0.267 S:189, I:0, D:31
S-11C Kaldi 8 0.184 S:85, I:1, D:0
S-11C Google 8 0.276 S:76, I:0, D:16
S-16D
S-16D Kaldi 0 0.228 S:237, I:0, D:5
S-16D Google 0 0.265 S:227, I:0, D:35
S-16D Kaldi 1 0.19 S:408, I:0, D:19
S-16D Google 1 0.223 S:393, I:0, D:67
S-16D Kaldi 2 0.24 S:225, I:0, D:8
S-16D Google 2 0.279 S:215, I:0, D:52
S-16D Kaldi 3 0.161 S:413, I:0, D:7
S-16D Google 3 0.217 S:387, I:0, D:59
S-16D Kaldi 4 0.182 S:329, I:0, D:18
S-16D Google 4 0.257 S:300, I:0, D:64
S-16D Kaldi 5 0.229 S:229, I:0, D:3
S-16D Google 5 0.251 S:224, I:0, D:46
S-16D Kaldi 6 0.347 S:77, I:0, D:1
S-16D Google 6 0.417 S:70, I:0, D:34
S-16D Kaldi 7 0.286 S:41, I:1, D:0
S-16D Google 7 0.345 S:38, I:0, D:12
S-16D Kaldi 8 0.182 S:108, I:0, D:6
S-16D Google 8 0.276 S:97, I:0, D:23
S-16D Kaldi 9 0.433 S:17, I:0, D:1
S-16D Google 9 0.5 S:16, I:0, D:14
S-16D Kaldi 10 0.25 S:30, I:0, D:0
S-16D Google 10 0.381 S:26, I:0, D:7
S-16D Kaldi 11 0.228 S:66, I:5, D:0
S-16D Google 11 0.247 S:61, I:0, D:16
S-16D Kaldi 12 0.244 S:36, I:2, D:0
S-16D Google 12 0.298 S:33, I:0, D:12
S-20D
S-20D Kaldi 0 0.393 S:156, I:0, D:26
S-20D Google 0 0.51 S:127, I:0, D:76
S-20D Kaldi 1 0.264 S:223, I:0, D:21
S-20D Google 1 0.407 S:181, I:0, D:51
S-20D Kaldi 2 0.312 S:209, I:0, D:23
S-20D Google 2 0.467 S:163, I:0, D:86
S-20D Kaldi 3 0.385 S:139, I:0, D:29
S-20D Google 3 0.421 S:132, I:0, D:47
S-20D Kaldi 4 0.282 S:521, I:0, D:23
S-20D Google 4 0.36 S:466, I:0, D:112
S-20D Kaldi 5 0.281 S:299, I:0, D:25
S-20D Google 5 0.402 S:250, I:0, D:92
S-20D Kaldi 6 0.765 S:8, I:0, D:4
